"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.auto.value","C:\User\arun\Assignment 2_summer\google\auto\value\src\it\functional\src\test\java\com\google\auto\value\AutoOneOfTest.java","3","49","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","com.google.auto.value","C:\User\arun\Assignment 2_summer\google\auto\value\src\it\functional\src\test\java\com\google\auto\value\AutoOneOfTest.java","3","58","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.google.auto.value","C:\User\arun\Assignment 2_summer\google\auto\value\src\it\functional\src\test\java\com\google\auto\value\AutoValueTest.java","3","120","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","com.google.auto.value","C:\User\arun\Assignment 2_summer\google\auto\value\src\it\functional\src\test\java\com\google\auto\value\AutoValueTest.java","3","1039","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"3","com.google.auto.value","C:\User\arun\Assignment 2_summer\google\auto\value\src\it\functional\src\test\java\com\google\auto\value\AutoValueTest.java","3","1500","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\main\java\com\google\auto\value\processor\AutoAnnotationProcessor.java","3","142","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\main\java\com\google\auto\value\processor\AutoAnnotationProcessor.java","3","280","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\main\java\com\google\auto\value\processor\AutoValueishProcessor.java","3","442","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\main\java\com\google\auto\value\processor\AutoValueishProcessor.java","3","621","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\main\java\com\google\auto\value\processor\KotlinMetadata.java","3","298","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.google.auto.value.extension.memoized","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\extension\memoized\MemoizedTest.java","3","244","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.google.auto.value.extension.serializable.serializer.utils","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\extension\serializable\serializer\utils\CompilationAbstractTest.java","3","38","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","112","Unnecessary qualifier 'java.lang': 'String' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"2","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","128","Unnecessary qualifier 'java.lang': 'String' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"3","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","143","Unnecessary qualifier 'java.util': 'List' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"4","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","172","Unnecessary qualifier 'java.util': 'List' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"5","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","173","Unnecessary qualifier 'java.util': 'Set' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"6","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","211","Unnecessary qualifier 'java.lang': 'String' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"7","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","213","Unnecessary qualifier 'java.util': 'List' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"8","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","225","Unnecessary qualifier 'java.lang': 'String' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"9","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","231","Unnecessary qualifier 'java.lang': 'Thread' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"10","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","238","Unnecessary qualifier 'java.lang': 'RuntimePermission' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"11","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","253","Unnecessary qualifier 'java.util': 'List' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"12","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","255","Unnecessary qualifier 'java.lang': 'String' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"13","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","4","256","Unnecessary qualifier 'java.lang': 'Integer' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"14","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","3","294","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"15","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeEncoderTest.java","3","295","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeSimplifierTest.java","4","136","Unnecessary qualifier 'java.util': 'List' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"2","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeSimplifierTest.java","4","200","Unnecessary qualifier 'java.lang': 'String' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"3","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeSimplifierTest.java","4","206","Unnecessary qualifier 'java.util': 'Map' is already in scope because it is imported in this file","Code Style","UnnecessaryFullyQualifiedName"
"1","com.google.auto.value.processor","C:\User\arun\Assignment 2_summer\google\auto\value\src\test\java\com\google\auto\value\processor\TypeVariablesTest.java","3","56","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
